index,quality
0,4
1,5
2,5
3,4
4,7
5,5
6,6
7,6
8,6
9,9
10,5
11,5
12,8
13,6
14,6
15,5
16,5
17,8
18,6
19,5
20,7
21,6
22,5
23,8
24,6
25,5
26,3
27,5
28,5
29,5
30,8
31,6
32,3
33,5
34,5
35,8
36,5
37,5
38,6
39,3
40,7
41,5
42,7
43,5
44,7
45,7
46,5
47,6
48,5
49,5
50,5
51,5
52,6
53,4
54,5
55,5
56,6
57,4
58,5
59,6
60,5
61,5
62,5
63,7
64,6
65,5
66,5
67,5
68,6
69,5
70,5
71,5
72,5
73,5
74,6
75,5
76,7
77,7
78,8
79,7
80,7
81,8
82,4
83,4
84,8
85,5
86,5
87,5
88,8
89,7
90,7
91,5
92,5
93,7
94,6
95,5
96,6
97,3
98,6
99,7
100,5
101,5
102,6
103,5
104,5
105,6
106,6
107,7
108,5
109,5
110,7
111,7
112,6
113,6
114,4
115,8
116,5
117,8
118,7
119,8
120,8
121,4
122,5
123,7
124,5
125,5
126,4
127,7
128,6
129,7
130,5
131,5
132,5
133,5
134,5
135,8
136,5
137,8
138,4
139,5
140,5
141,4
142,5
143,5
144,5
145,4
146,8
147,5
148,8
149,7
150,5
151,8
152,5
153,5
154,6
155,5
156,5
157,6
158,7
159,3
160,4
161,5
162,6
163,7
164,6
165,4
166,4
167,8
168,5
169,5
170,5
171,4
172,8
173,5
174,6
175,5
176,7
177,5
178,5
179,5
180,6
181,3
182,5
183,8
184,5
185,7
186,6
187,5
188,5
189,6
190,6
191,4
192,4
193,8
194,5
195,6
196,8
197,5
198,5
199,5
200,6
201,5
202,4
203,5
204,4
205,5
206,8
207,7
208,7
209,5
210,8
211,5
212,4
213,6
214,8
215,6
216,5
217,5
218,6
219,7
220,6
221,6
222,8
223,6
224,8
225,6
226,7
227,5
228,8
229,5
230,8
231,8
232,7
233,6
234,6
235,6
236,6
237,8
238,7
239,6
240,6
241,7
242,7
243,7
244,8
245,6
246,5
247,8
248,5
249,8
250,4
251,5
252,8
253,7
254,8
255,6
256,8
257,8
258,8
259,8
260,7
261,5
262,5
263,6
264,5
265,5
266,8
267,5
268,6
269,8
270,8
271,3
272,4
273,5
274,8
275,5
276,7
277,8
278,5
279,5
280,6
281,6
282,4
283,6
284,5
285,7
286,6
287,7
288,5
289,6
290,5
291,5
292,3
293,7
294,5
295,6
296,8
297,5
298,5
299,8
300,6
301,5
302,5
303,5
304,5
305,5
306,5
307,8
308,5
309,5
310,5
311,5
312,7
313,5
314,5
315,7
316,5
317,5
318,5
319,7
320,5
321,5
322,5
323,5
324,4
325,4
326,4
327,7
328,8
329,5
330,5
331,8
332,8
333,5
334,5
335,8
336,5
337,6
338,7
339,5
340,6
341,6
342,7
343,6
344,5
345,7
346,7
347,8
348,5
349,3
350,5
351,5
352,4
353,8
354,4
355,4
356,6
357,6
358,6
359,6
360,4
361,5
362,5
363,8
364,8
365,7
366,5
367,3
368,8
369,6
370,7
371,5
372,4
373,6
374,5
375,5
376,5
377,5
378,8
379,6
380,8
381,9
382,8
383,7
384,5
385,8
386,4
387,5
388,7
389,5
390,8
391,5
392,8
393,4
394,3
395,5
396,5
397,8
398,8
399,5
400,8
401,4
402,5
403,6
404,6
405,5
406,4
407,6
408,8
409,5
410,6
411,5
412,5
413,5
414,4
415,7
416,6
417,5
418,5
419,5
420,7
421,7
422,4
423,6
424,5
425,6
426,8
427,4
428,5
429,6
430,8
431,5
432,5
433,8
434,8
435,4
436,6
437,5
438,5
439,4
440,5
441,7
442,8
443,6
444,8
445,8
446,5
447,4
448,5
449,8
450,6
451,7
452,4
453,7
454,5
455,3
456,8
457,5
458,6
459,3
460,8
461,7
462,5
463,5
464,4
465,5
466,7
467,5
468,8
469,5
470,5
471,4
472,4
473,4
474,5
475,7
476,8
477,8
478,8
479,7
480,7
481,8
482,6
483,5
484,7
485,3
486,6
487,7
488,4
489,7
490,7
491,8
492,5
493,7
494,3
495,8
496,5
497,4
498,7
499,6
500,6
501,7
502,7
503,8
504,5
505,5
506,6
507,6
508,5
509,8
510,5
511,3
512,6
513,4
514,4
515,5
516,5
517,8
518,6
519,5
520,5
521,6
522,5
523,6
524,6
525,4
526,7
527,7
528,8
529,6
530,5
531,6
532,8
533,8
534,8
535,8
536,7
537,5
538,4
539,5
540,4
541,5
542,7
543,6
544,7
545,8
546,7
547,5
548,6
549,7
550,7
551,8
552,8
553,4
554,5
555,6
556,5
557,5
558,4
559,6
560,5
561,5
562,3
563,6
564,7
565,8
566,7
567,8
568,5
569,4
570,6
571,5
572,3
573,7
574,6
575,3
576,6
577,5
578,5
579,5
580,8
581,6
582,5
583,5
584,7
585,7
586,8
587,8
588,3
589,7
590,8
591,5
592,8
593,6
594,5
595,5
596,4
597,8
598,4
599,6
600,6
601,8
602,8
603,6
604,4
605,6
606,5
607,5
608,8
609,5
610,8
611,5
612,7
613,5
614,6
615,7
616,5
617,7
618,8
619,6
620,8
621,4
622,5
623,4
624,5
625,6
626,5
627,7
628,5
629,5
630,5
631,5
632,5
633,5
634,6
635,7
636,4
637,6
638,7
639,5
640,4
641,6
642,5
643,5
644,6
645,7
646,5
647,5
648,6
649,5
650,8
651,5
652,8
653,6
654,6
655,4
656,8
657,6
658,7
659,5
660,8
661,5
662,5
663,5
664,8
665,5
666,7
667,5
668,6
669,5
670,6
671,5
672,6
673,7
674,8
675,5
676,5
677,6
678,6
679,6
680,8
681,5
682,8
683,5
684,8
685,8
686,7
687,7
688,4
689,7
690,8
691,6
692,4
693,6
694,6
695,6
696,5
697,4
698,5
699,5
700,8
701,5
702,7
703,8
704,5
705,5
706,5
707,6
708,5
709,5
710,5
711,5
712,7
713,5
714,8
715,6
716,5
717,8
718,6
719,7
720,7
721,7
722,7
723,5
724,6
725,7
726,7
727,4
728,8
729,8
730,4
731,7
732,5
733,5
734,8
735,6
736,4
737,8
738,8
739,4
740,3
741,4
742,8
743,3
744,5
745,5
746,8
747,4
748,5
749,5
750,6
751,5
752,5
753,5
754,5
755,8
756,5
757,7
758,3
759,7
760,5
761,5
762,6
763,8
764,8
765,7
766,5
767,7
768,5
769,7
770,5
771,4
772,7
773,5
774,7
775,5
776,8
777,5
778,4
779,5
780,8
781,5
782,5
783,5
784,3
785,5
786,4
787,5
788,5
789,8
790,4
791,4
792,7
793,5
794,8
795,6
796,6
797,3
798,5
799,5
800,4
801,5
802,7
803,7
804,5
805,7
806,5
807,6
808,8
809,8
810,8
811,8
812,6
813,8
814,7
815,5
816,5
817,7
818,5
819,5
820,7
821,5
822,4
823,4
824,8
825,7
826,6
827,5
828,7
829,8
830,4
831,7
832,8
833,5
834,8
835,7
836,4
837,8
838,5
839,5
840,5
841,5
842,7
843,5
844,7
845,5
846,8
847,7
848,8
849,6
850,5
851,8
852,6
853,6
854,4
855,5
856,8
857,5
858,5
859,5
860,5
861,6
862,4
863,5
864,5
865,3
866,4
867,8
868,6
869,6
870,8
871,8
872,7
873,8
874,5
875,4
876,5
877,6
878,7
879,5
880,5
881,8
882,5
883,5
884,5
885,8
886,6
887,6
888,8
889,4
890,5
891,7
892,8
893,6
894,5
895,5
896,5
897,7
898,7
899,8
900,6
901,5
902,5
903,8
904,5
905,6
906,5
907,5
908,5
909,8
910,5
911,5
912,5
913,6
914,6
915,8
916,8
917,7
918,5
919,3
920,7
921,6
922,6
923,6
924,7
925,4
926,7
927,4
928,6
929,4
930,4
931,5
932,5
933,7
934,4
935,5
936,5
937,5
938,4
939,8
940,5
941,7
942,6
943,5
944,8
945,4
946,6
947,4
948,6
949,5
950,7
951,7
952,6
953,5
954,4
955,8
956,6
957,7
958,7
959,8
960,5
961,5
962,6
963,4
964,5
965,5
966,5
967,5
968,4
969,8
970,6
971,7
972,8
973,7
974,8
975,6
976,8
977,8
978,5
979,6
980,5
981,4
982,6
983,5
984,5
985,7
986,8
987,5
988,5
989,4
990,5
991,6
992,7
993,5
994,8
995,5
996,4
997,5
998,6
999,8
