index,quality
0,4.0
1,4.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,5.0
10,4.0
11,4.0
12,5.0
13,4.0
14,4.0
15,3.0
16,4.0
17,4.0
18,3.0
19,3.0
20,4.0
21,4.0
22,3.0
23,5.0
24,4.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,5.0
31,4.0
32,3.0
33,3.0
34,3.0
35,4.0
36,3.0
37,3.0
38,4.0
39,4.0
40,4.0
41,3.0
42,4.0
43,3.0
44,4.0
45,4.0
46,3.0
47,4.0
48,3.0
49,4.0
50,3.0
51,3.0
52,4.0
53,3.0
54,3.0
55,4.0
56,4.0
57,3.0
58,3.0
59,4.0
60,3.0
61,4.0
62,4.0
63,4.0
64,4.0
65,4.0
66,3.0
67,3.0
68,4.0
69,3.0
70,3.0
71,3.0
72,3.0
73,4.0
74,4.0
75,3.0
76,4.0
77,4.0
78,5.0
79,4.0
80,4.0
81,4.0
82,3.0
83,3.0
84,4.0
85,4.0
86,3.0
87,3.0
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,4.0
94,4.0
95,5.0
96,4.0
97,4.0
98,4.0
99,4.0
100,3.0
101,3.0
102,4.0
103,3.0
104,4.0
105,4.0
106,4.0
107,4.0
108,5.0
109,4.0
110,4.0
111,4.0
112,4.0
113,3.0
114,3.0
115,4.0
116,4.0
117,5.0
118,4.0
119,4.0
120,4.0
121,3.0
122,4.0
123,4.0
124,3.0
125,3.0
126,4.0
127,4.0
128,4.0
129,5.0
130,3.0
131,3.0
132,4.0
133,3.0
134,3.0
135,4.0
136,4.0
137,5.0
138,3.0
139,3.0
140,3.0
141,4.0
142,3.0
143,3.0
144,3.0
145,3.0
146,5.0
147,4.0
148,5.0
149,4.0
150,3.0
151,5.0
152,4.0
153,3.0
154,4.0
155,3.0
156,3.0
157,4.0
158,4.0
159,3.0
160,3.0
161,4.0
162,4.0
163,4.0
164,4.0
165,3.0
166,4.0
167,4.0
168,3.0
169,4.0
170,3.0
171,3.0
172,4.0
173,3.0
174,4.0
175,3.0
176,4.0
177,4.0
178,4.0
179,3.0
180,4.0
181,4.0
182,5.0
183,5.0
184,3.0
185,4.0
