,id,count
0,0,-0.01827322
1,1,-0.05679999
2,2,-0.17108528
3,4,-0.028924285
4,5,-0.19632243
5,10,-0.054560237
6,11,-0.089195274
7,12,-0.06436622
8,15,-0.021800848
9,17,-0.17765859
10,18,-0.06489902
11,23,-0.039987642
12,25,-0.03727733
13,26,-0.03636366
14,31,-0.030615011
15,39,-0.07015562
16,40,-0.03624742
17,41,-0.19728392
18,42,
19,43,-0.03032122
20,51,-0.055598184
21,52,-0.033604834
22,54,-0.052275322
23,60,-0.06619232
24,61,-0.01999751
25,62,-0.0605666
26,63,-0.05989872
27,65,-0.049036164
28,66,-0.04974867
29,68,-0.044119764
30,71,-0.04571512
31,80,-0.047141828
32,82,
33,94,-0.026463376
34,98,-0.065626055
35,101,-0.034769677
36,102,-0.039490093
37,107,-0.21413477
38,112,-0.099791884
39,113,-0.021367038
40,115,
41,116,-0.05021291
42,120,-0.05447116
43,121,-0.030567886
44,122,-0.054107692
45,132,-0.059839103
46,143,-0.19486348
47,147,
48,150,-0.03649736
49,151,-0.04396979
50,152,-0.05285665
51,153,-0.062248114
52,155,-0.007290194
53,156,-0.23664178
54,159,-0.03899756
55,161,-0.03440686
56,163,-0.048135754
57,177,-0.044024725
58,186,-0.076349884
59,188,-0.05879799
60,190,-0.06046935
61,191,-0.036906537
62,192,-0.045074325
63,195,-0.045379944
64,200,-0.055410624
65,209,-0.061661143
66,210,-0.02639752
67,211,-0.093440324
68,214,-0.055737972
69,215,-0.03537518
70,218,-0.039389808
71,219,-0.028418126
72,222,-0.056192245
73,225,-0.035385508
74,228,-0.0526764
75,236,-0.05349561
76,241,-0.03988761
77,242,-0.06088298
78,243,-0.058021344
79,245,-0.061432548
80,247,-0.07232094
81,251,-0.049190495
82,252,-0.05388953
83,253,-0.040562186
84,254,-0.025513032
85,258,-0.06599408
86,260,
87,261,-0.0419212
88,265,-0.057616
89,266,-0.052437052
90,267,-0.039356027
91,269,-0.050024394
92,270,
93,275,-0.0060166996
94,278,-0.076661825
95,279,-0.046027232
96,286,-0.069799155
97,287,-0.047096398
98,288,-0.07751547
99,289,-0.06946918
100,293,-0.057297286
101,294,-0.075931415
102,297,
103,302,-0.016225109
104,303,-0.018169804
105,304,-0.20277746
106,307,-0.0144224055
107,309,-0.018681457
108,311,-0.04837981
109,312,-0.16974105
110,314,-0.034478646
111,315,-0.06038398
112,319,-0.08028479
113,322,-0.05821387
114,323,
115,325,-0.048773963
116,327,-0.052101437
117,330,-0.06347707
118,332,-0.04440624
119,333,-0.046380926
120,338,-0.013961805
121,341,-0.01382011
122,345,-0.17945607
123,348,-0.091825105
124,349,-0.054667484
125,350,-0.044695616
126,352,
127,355,-0.055086046
128,356,
129,358,
130,363,-0.06090979
131,369,-0.04566297
132,371,-0.030921256
133,372,-0.054479145
134,375,-0.050261024
135,380,-0.042730294
136,388,-0.05983151
137,391,
138,392,-0.046341956
139,393,-0.055998422
140,394,-0.015843859
