iter	Passed	Remaining
0	0	824
1	1	743
2	2	715
3	3	773
4	3	739
5	4	723
6	4	704
7	5	667
8	5	654
9	6	646
10	7	641
11	7	642
12	8	639
13	9	638
14	9	638
15	10	639
16	10	634
17	11	631
18	12	629
19	12	631
20	13	634
21	14	634
22	14	635
23	15	636
24	16	633
25	16	632
26	17	630
27	18	628
28	18	626
29	19	626
30	20	628
31	20	628
32	21	626
33	22	625
34	22	623
35	23	622
36	24	626
37	24	624
38	25	622
39	25	620
40	26	619
41	27	618
42	27	616
43	28	617
44	29	616
45	29	614
46	30	613
47	30	612
48	31	613
49	32	612
50	33	614
51	33	617
52	34	617
53	35	616
54	35	615
55	36	612
56	36	610
57	37	608
58	38	611
59	39	611
60	39	608
61	40	606
62	40	604
63	41	602
64	41	600
65	42	598
66	42	596
67	43	594
68	43	592
69	44	590
70	45	588
71	45	587
72	46	585
73	46	583
74	47	581
75	47	579
76	48	578
77	48	577
78	49	575
79	49	574
80	50	572
81	50	570
82	51	569
83	52	569
84	52	567
85	53	566
86	53	565
87	54	565
88	55	565
89	55	565
90	56	564
91	57	563
92	57	561
93	58	560
94	58	559
95	59	557
96	59	556
97	60	555
98	60	554
99	61	553
100	62	551
101	62	550
102	63	549
103	63	548
104	64	547
105	64	546
106	65	544
107	65	543
108	66	544
109	67	543
110	67	543
111	68	543
112	69	542
113	69	542
114	70	541
115	71	541
116	71	542
117	72	543
118	73	544
119	74	544
120	74	543
121	75	546
122	76	545
123	77	544
124	77	545
125	78	547
126	80	550
127	80	550
128	81	550
129	82	549
130	82	548
131	83	547
132	84	551
133	85	552
134	86	552
135	86	551
136	87	551
137	88	550
138	88	549
139	89	548
140	89	547
141	90	546
142	91	545
143	91	544
144	92	543
145	92	542
146	93	541
147	93	540
148	94	541
149	95	541
150	96	541
151	97	541
152	97	541
153	100	552
154	102	556
155	102	556
156	103	555
157	103	554
158	104	553
159	105	552
160	105	550
161	106	549
162	106	548
163	107	547
164	107	546
165	108	545
166	109	544
167	109	543
168	110	542
169	110	541
170	111	541
171	112	541
172	112	540
173	113	539
174	115	542
175	116	543
176	116	543
177	117	542
178	117	541
179	118	539
180	119	539
181	119	538
182	120	538
183	121	537
184	121	536
185	122	536
186	123	537
187	124	538
188	126	540
189	127	541
190	127	541
191	129	545
192	130	545
193	131	544
194	131	543
195	132	542
196	132	540
197	133	539
198	133	538
199	134	537
200	134	536
201	135	534
202	135	533
203	136	532
204	137	531
205	137	530
206	138	530
207	138	528
208	139	528
209	140	526
210	140	526
211	141	525
212	141	524
213	142	523
214	143	522
215	143	522
216	144	521
217	145	520
218	145	519
219	146	518
220	146	517
221	147	516
222	148	516
223	148	515
224	149	514
225	150	513
226	150	512
227	151	511
228	151	510
229	152	510
230	152	509
231	153	508
232	154	507
233	154	506
234	155	505
235	155	503
236	156	502
237	156	501
238	157	500
239	157	499
240	158	498
241	159	498
242	159	497
243	160	496
244	160	496
245	161	495
246	162	495
247	163	494
248	163	493
249	164	493
250	165	492
251	165	492
252	166	491
253	167	490
254	167	489
255	168	489
256	168	488
257	169	487
258	169	486
259	170	485
260	171	484
261	171	483
262	172	482
263	172	481
264	173	480
265	174	480
266	174	479
267	175	478
268	175	477
269	176	477
270	177	476
271	177	475
272	178	474
273	178	473
274	179	472
275	179	471
276	180	470
277	180	469
278	181	469
279	182	468
280	182	467
281	183	466
282	183	465
283	184	465
284	185	464
285	185	463
286	186	462
287	186	461
288	187	461
289	188	460
290	189	460
291	189	459
292	190	459
293	190	458
294	191	457
295	191	456
296	192	455
297	193	454
298	193	453
299	194	453
300	194	452
301	195	451
302	195	450
303	196	449
304	197	448
305	197	448
306	198	447
307	198	446
308	199	445
309	199	444
310	200	444
311	201	443
312	201	442
313	202	442
314	203	441
315	203	441
316	204	440
317	204	439
318	205	438
319	206	438
320	207	438
321	207	437
322	208	437
323	209	436
324	209	435
325	210	434
326	210	433
327	211	432
328	211	432
329	212	431
330	212	430
331	213	429
332	214	428
333	214	427
334	215	427
335	215	426
336	216	425
337	217	425
338	217	424
339	218	423
340	218	422
341	219	422
342	219	421
343	220	420
344	221	419
