,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,param_max_depth,param_min_samples_split,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
48,0.146844482421875,0.006043140922110077,0.02197422981262207,0.00836954474091838,,,,5,4,"{'min_samples_split': 5, 'n_jobs': 4}",1.0,0.967032967032967,0.945054945054945,0.9560439560439561,0.9560439560439561,0.964835164835165,0.01890620937811566,1
41,0.15645318031311034,0.023840525565780854,0.02156987190246582,0.007297779664933897,,,,2,2,"{'min_samples_split': 2, 'n_jobs': 2}",0.978021978021978,0.967032967032967,0.945054945054945,0.9560439560439561,0.978021978021978,0.9648351648351647,0.01281527888976988,2
62,0.18021817207336427,0.01647010357822714,0.022477054595947267,0.008778235586773655,,,12,,2,"{'max_depth': 12, 'n_jobs': 2}",0.989010989010989,0.9560439560439561,0.945054945054945,0.9560439560439561,0.967032967032967,0.9626373626373628,0.014906219743132469,3
43,0.14555044174194337,0.0070612563992441335,0.025817489624023436,0.008455878416390393,,,,3,-1,"{'min_samples_split': 3, 'n_jobs': -1}",0.989010989010989,0.967032967032967,0.945054945054945,0.9560439560439561,0.9560439560439561,0.9626373626373628,0.01490621974313247,3
54,0.149336576461792,0.008316837684574942,0.02214674949645996,0.007447265999154744,,,6,,4,"{'max_depth': 6, 'n_jobs': 4}",0.989010989010989,0.9560439560439561,0.9340659340659341,0.967032967032967,0.967032967032967,0.9626373626373628,0.01785502946073838,3
45,0.1482776641845703,0.015863432333671833,0.023530960083007812,0.005756460140493463,,,,3,4,"{'min_samples_split': 3, 'n_jobs': 4}",0.978021978021978,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.967032967032967,0.9626373626373625,0.00879120879120876,6
12,0.19058728218078613,0.02332199196338458,0.008594942092895509,0.0043608824773237985,3,,8,,,"{'max_depth': 8, 'min_samples_leaf': 3}",0.978021978021978,0.967032967032967,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.00879120879120876,6
9,0.14056925773620604,0.006193399280453083,0.010970067977905274,0.006869300223695878,5,,6,,,"{'max_depth': 6, 'min_samples_leaf': 5}",0.989010989010989,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.945054945054945,0.9604395604395606,0.01490621974313247,8
44,0.1735854148864746,0.016495076192233372,0.02648272514343262,0.011523878639525661,,,,3,2,"{'min_samples_split': 3, 'n_jobs': 2}",0.978021978021978,0.9560439560439561,0.945054945054945,0.9560439560439561,0.967032967032967,0.9604395604395604,0.011206636293610508,9
52,0.15364418029785157,0.014897199896594236,0.014912271499633789,0.005017136590940278,,,6,,-1,"{'max_depth': 6, 'n_jobs': -1}",1.0,0.9560439560439561,0.9120879120879121,0.9560439560439561,0.978021978021978,0.9604395604395604,0.029157141014113406,9
59,0.18140206336975098,0.02452816421866036,0.020514869689941408,0.0033053591437985095,,,10,,2,"{'max_depth': 10, 'n_jobs': 2}",0.978021978021978,0.9560439560439561,0.945054945054945,0.9560439560439561,0.967032967032967,0.9604395604395604,0.011206636293610508,9
24,0.14457955360412597,0.00982410249560164,0.011773109436035156,0.00605222678069624,3,,,2,,"{'min_samples_leaf': 3, 'min_samples_split': 2}",0.978021978021978,0.9560439560439561,0.945054945054945,0.9560439560439561,0.967032967032967,0.9604395604395604,0.011206636293610508,9
42,0.14841217994689943,0.014766850889164244,0.02588629722595215,0.011431658659748446,,,,2,4,"{'min_samples_split': 2, 'n_jobs': 4}",0.978021978021978,0.967032967032967,0.945054945054945,0.945054945054945,0.967032967032967,0.9604395604395604,0.01318681318681319,9
18,0.13834547996520996,0.006818453482907789,0.012246417999267577,0.0027581140092311873,7,,10,,,"{'max_depth': 10, 'min_samples_leaf': 7}",0.978021978021978,0.967032967032967,0.945054945054945,0.945054945054945,0.967032967032967,0.9604395604395604,0.01318681318681319,9
32,0.15368738174438476,0.01783534616698662,0.012233495712280273,0.003197917706785953,7,,,2,,"{'min_samples_leaf': 7, 'min_samples_split': 2}",0.989010989010989,0.9560439560439561,0.945054945054945,0.945054945054945,0.9560439560439561,0.9582417582417584,0.016150481820548446,15
