,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,param_max_depth,param_min_samples_split,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
31,0.1020197868347168,0.00480284308835054,0.014875078201293945,0.004501265752969913,5,,,10,,"{'min_samples_leaf': 5, 'min_samples_split': 10}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
32,0.09604911804199219,0.002828633778591097,0.012499427795410157,0.006249713899524151,7,,,2,,"{'min_samples_leaf': 7, 'min_samples_split': 2}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
39,0.11296367645263672,0.021867143790547616,0.009374713897705078,0.00765442185504854,10,,,10,,"{'min_samples_leaf': 10, 'min_samples_split': 10}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
22,0.10936694145202637,5.7220458984375e-07,0.0031249523162841797,0.006249904632568359,7,,12,,,"{'max_depth': 12, 'min_samples_leaf': 7}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
18,0.10624260902404785,0.006249761589606663,0.006249761581420899,0.007654363447607257,7,,10,,,"{'max_depth': 10, 'min_samples_leaf': 7}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
15,0.10936760902404785,0.0,0.006249713897705078,0.007654305045364299,10,,8,,,"{'max_depth': 8, 'min_samples_leaf': 10}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
11,0.10936708450317383,4.370284743266907e-07,0.009374427795410156,0.007654188247562101,10,,6,,,"{'max_depth': 6, 'min_samples_leaf': 10}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
10,0.10534200668334961,0.005005332629267233,0.008013439178466798,0.01020288132727523,7,,6,,,"{'max_depth': 6, 'min_samples_leaf': 7}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
17,0.10472569465637208,0.006865002443053127,0.009374523162841797,0.007654266110783191,5,,10,,,"{'max_depth': 10, 'min_samples_leaf': 5}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
36,0.10311784744262695,0.007654266118209562,0.012499523162841798,0.006249761591425722,10,,,2,,"{'min_samples_leaf': 10, 'min_samples_split': 2}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
7,0.20647015571594238,0.005964065399782367,0.013708972930908203,0.003830623635612509,10,200,,,,"{'min_samples_leaf': 10, 'n_estimators': 200}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
6,0.11274895668029786,0.004143399882880211,0.010047626495361329,0.005731723696390017,10,100,,,,"{'min_samples_leaf': 10, 'n_estimators': 100}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
2,0.10148272514343262,0.005189499360184427,0.012499380111694335,0.006249690061986561,5,100,,,,"{'min_samples_leaf': 5, 'n_estimators': 100}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
4,0.11039257049560547,0.004822949260185016,0.007855367660522462,0.0069879273427201185,7,100,,,,"{'min_samples_leaf': 7, 'n_estimators': 100}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,1
38,0.11192502975463867,0.0031385647840447687,0.007938289642333984,0.0068867342502895,10,,,5,,"{'min_samples_leaf': 10, 'min_samples_split': 5}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
61,0.12778520584106445,0.0030750660913987605,0.021787357330322266,0.005072494562973113,,,12,,-1,"{'max_depth': 12, 'n_jobs': -1}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
41,0.12218575477600098,0.014401462417675545,0.027666568756103516,0.006878858653478207,,,,2,2,"{'min_samples_split': 2, 'n_jobs': 2}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
42,0.11488375663757325,0.007989203470688233,0.018748712539672852,0.006249570851105403,,,,2,4,"{'min_samples_split': 2, 'n_jobs': 4}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
43,0.12438883781433105,0.00824349738753763,0.014425277709960938,0.0023975372693798513,,,,3,-1,"{'min_samples_split': 3, 'n_jobs': -1}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
44,0.12171258926391601,0.011060240771446829,0.018901634216308593,0.0064570448945695125,,,,3,2,"{'min_samples_split': 3, 'n_jobs': 2}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
45,0.13132829666137696,0.011067727038817305,0.015624046325683594,5.43678009557313e-07,,,,3,4,"{'min_samples_split': 3, 'n_jobs': 4}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
46,0.11847863197326661,0.0076935511526997,0.02061772346496582,0.007593384350949204,,,,5,-1,"{'min_samples_split': 5, 'n_jobs': -1}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
47,0.11760945320129394,0.007922755322191477,0.020527124404907227,0.010255047783930863,,,,5,2,"{'min_samples_split': 5, 'n_jobs': 2}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
57,0.11796307563781738,0.005576364626767872,0.01675443649291992,0.0034496397106164047,,,8,,4,"{'max_depth': 8, 'n_jobs': 4}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
58,0.11871991157531739,0.005821504275427965,0.014084959030151367,0.003078174594757773,,,10,,-1,"{'max_depth': 10, 'n_jobs': -1}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
49,0.13018379211425782,0.008758465099832862,0.01110835075378418,0.007170278206357065,,,,10,-1,"{'min_samples_split': 10, 'n_jobs': -1}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
50,0.12535228729248046,0.013738210665642592,0.02129387855529785,0.005733145662937216,,,,10,2,"{'min_samples_split': 10, 'n_jobs': 2}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
51,0.11480417251586914,0.013679920714506213,0.015312767028808594,0.008845275744561466,,,,10,4,"{'min_samples_split': 10, 'n_jobs': 4}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
37,0.10965971946716309,0.008332676634123844,0.003732156753540039,0.006061445950049443,10,,,3,,"{'min_samples_leaf': 10, 'min_samples_split': 3}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
52,0.11388626098632812,0.007343430642582375,0.015624094009399413,2.3360154559928684e-07,,,6,,-1,"{'max_depth': 6, 'n_jobs': -1}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
59,0.11249217987060547,0.006249618532092538,0.02499833106994629,0.007653974109222543,,,10,,2,"{'max_depth': 10, 'n_jobs': 2}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
53,0.12355055809020996,0.0078053656383901,0.014526796340942384,0.002194499974662957,,,6,,2,"{'max_depth': 6, 'n_jobs': 2}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
55,0.11576600074768066,0.005224070300729401,0.016681432723999023,0.002115011217897579,,,8,,-1,"{'max_depth': 8, 'n_jobs': -1}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
56,0.1133659839630127,0.006054035067751558,0.02187376022338867,0.007654110377904773,,,8,,2,"{'max_depth': 8, 'n_jobs': 2}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
48,0.11836943626403809,0.007136492392162894,0.018748712539672852,0.006249570851105403,,,,5,4,"{'min_samples_split': 5, 'n_jobs': 4}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
60,0.11625876426696777,0.007288404664510152,0.016031455993652344,0.009915238440368315,,,10,,4,"{'max_depth': 10, 'n_jobs': 4}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
0,0.12943391799926757,0.009165922708447573,0.011773014068603515,0.006052137488120673,3,100,,,,"{'min_samples_leaf': 3, 'n_estimators': 100}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
34,0.10842704772949219,0.00700317659338465,0.006249666213989258,0.007654246643863953,7,,,5,,"{'min_samples_leaf': 7, 'min_samples_split': 5}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
1,0.21827659606933594,0.0033966966282723875,0.016745948791503908,0.0022436857242511873,3,200,,,,"{'min_samples_leaf': 3, 'n_estimators': 200}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
3,0.22617011070251464,0.018759448577000674,0.018748664855957033,0.006249237071462144,5,200,,,,"{'min_samples_leaf': 5, 'n_estimators': 200}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
5,0.21026134490966797,0.004236817366297172,0.016678762435913087,0.002109074594611719,7,200,,,,"{'min_samples_leaf': 7, 'n_estimators': 200}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
9,0.10659646987915039,0.0022628203067131323,0.009374713897705078,0.0076544218491075644,5,,6,,,"{'max_depth': 6, 'min_samples_leaf': 5}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
12,0.09999294281005859,0.007654285577949973,0.012499523162841798,0.006249761582330428,3,,8,,,"{'max_depth': 8, 'min_samples_leaf': 3}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
13,0.10602474212646484,0.005690704675933809,0.01464548110961914,0.0012399170282514373,5,,8,,,"{'max_depth': 8, 'min_samples_leaf': 5}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
14,0.10642929077148437,0.005874967583781218,0.0031247615814208986,0.006249523162841797,7,,8,,,"{'max_depth': 8, 'min_samples_leaf': 7}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
19,0.10311770439147949,0.007654343980935571,0.012499332427978516,0.006249666216717888,10,,10,,,"{'max_depth': 10, 'min_samples_leaf': 10}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
35,0.11112890243530274,0.007042586780342033,0.006249475479125977,0.007654013042318364,7,,,10,,"{'min_samples_leaf': 7, 'min_samples_split': 10}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
21,0.10275673866271973,0.007710157023211027,0.009374713897705078,0.007654421844651832,5,,12,,,"{'max_depth': 12, 'min_samples_leaf': 5}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
20,0.10419588088989258,0.008591154292163472,0.009374427795410156,0.0076541882445915225,3,,12,,,"{'max_depth': 12, 'min_samples_leaf': 3}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
24,0.10924601554870605,0.0003868866408748071,0.0064548015594482425,0.007496859189271855,3,,,2,,"{'min_samples_leaf': 3, 'min_samples_split': 2}",0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.95,0.0311804782231162,15
